id_poi_datatourisme;match_score;name;siret;site_internet;contact_url;entree_plain_pied
3519;85.4;Théâtre romain de Lillebonne;;https://www.theatreromaindelillebonne.fr/;https://www.theatreromaindelillebonne.fr/contact/;True
5179;113.8;Hotel de France;;;;False
5311;113.2;Théâtre romain de Lillebonne;;https://www.theatreromaindelillebonne.fr/;https://www.theatreromaindelillebonne.fr/contact/;True
6089;103.0;Centre Hospitalier Intercommunal Caux Vallée De Seine;;http://chi-cauxvalleedeseine.fr/;;True
2441;129.6;Le Relais du Lion D'Or;;https://www.relaisduliondor.com/;;False
1591;89.7;La Suite de l'Etoile;;;;False
133;96.8;Mairie - Longueil;;;;
1640;106.2;Mairie - Longueville-sur-Scie;;http://www.longueville-sur-scie.fr;;True
5122;89.0;Mairie - Longueville-sur-Scie;;http://www.longueville-sur-scie.fr;;True
538;92.6;Ferme des Trois Portes;;http://lestroisportes.fr/;;True
1500;114.9;Mairie - Luneray;;http://www.luneray.fr;;
4945;90.6;Mairie - Luneray;;http://www.luneray.fr;;
5689;92.7;Ferme des Trois Portes;;http://lestroisportes.fr/;;True
4932;129.9;Goélia Les Portes d'Étretat;;https://www.goelia.com/fr/residence-vacances/etretat/residence-goelia-les-portes-d-etretat.204.4.php;;
2165;112.3;Château de Martainville Musée des Traditions et Arts Normands;;http://www.chateaudemartainville.fr;https://www.chateaudemartainville.fr/contact-2/;False
4747;129.8;Auberge Du Clos Normand;;https://www.closnormand.fr/fr;https://www.closnormand.fr/fr/contact;
5581;104.9;Auberge Du Clos Normand;;https://www.closnormand.fr/fr;https://www.closnormand.fr/fr/contact;
2571;111.4;Labyrinthe Artmazia;;http://labyrinthe-artmazia.com;;True
5445;127.4;Attelages de la Jumenterie des Nefliers;;https://www.jdn-ecogite.fr/fr;https://www.jdn-ecogite.fr/fr;True
6326;110.0;La Jumenterie des Néfliers;;https://www.jdn-ecogite.fr/fr;https://www.jdn-ecogite.fr/fr;True
107;113.7;Centre hospitalier du Belvédère;;http://www.ch-belvedere.fr/;;True
3776;106.1;Campanile Rouen Nord - Mont Saint-Aignan;;;;True
1372;113.4;Relais de Montigny;;;;False
4232;99.8;Relais de Montigny;;;;False
5578;110.4;Relais de Montigny;;;;False
2046;111.6;Campanile Le Havre Nord - Montivilliers;;https://le-havre-nord-montivilliers.campanile.com/fr-fr/;;True
3392;93.1;Abbaye de Montivilliers;;https://abbaye-montivilliers.fr/;https://abbaye-montivilliers.fr/contact/;
3636;113.0;Campanile Le Havre Nord - Montivilliers;;https://le-havre-nord-montivilliers.campanile.com/fr-fr/;;True
4331;120.4;Hôtel Inn Design Le Havre Nord Montvilliers;;;;True
4449;100.2;abbatiale Saint sauveur;;http://www.ville-montivilliers.fr;;True
5388;129.6;Complexe Aquatique Belle Etoile;;https://www.lehavreseinemetropole.fr/annuaire-general/complexe-aquatique-belle-etoile-montivilliers;;True
6419;87.1;Abbaye de Montivilliers;;https://abbaye-montivilliers.fr/;https://abbaye-montivilliers.fr/contact/;
465;129.5;Musée des Sapeurs Pompiers de France;;https://montville.fr/musee-des-sapeurs-pompiers-de-france/;;True
3889;112.1;Piscine André Martin;;https://www.intercauxvexin.fr/fr/piscine;;True
4429;113.3;Les Granges Du Bout De La Ville;;;;True
631;85.4;Mesnil et Parc Botanique de Bray Garden;;;;True
3253;85.4;Mesnil et Parc Botanique de Bray Garden;;;;True
5831;103.0;Mairie - Morgny-la-Pommeraye;;;;
893;94.4;Parc Canadien;;https://www.parccanadien.com;https://www.parccanadien.com/contact;True
1111;87.2;Parc Canadien;;https://www.parccanadien.com;https://www.parccanadien.com/contact;True
2334;106.1;Parc Canadien;;https://www.parccanadien.com;https://www.parccanadien.com/contact;True
5081;108.4;Parc Canadien;;https://www.parccanadien.com;https://www.parccanadien.com/contact;True
2916;129.4;Au Quai Gourmand;;;;True
