id_poi;poi;lat;lon;found;distance_m;api_lat;api_lon;image_url;nb_results
863;Stage P'tit Mousse;49.867202;0.709735;True;2.51;49.867223267;0.709723376;https://panoramax-storage-public-fast.s3.gra.perf.cloud.ovh.net/derivates/cc/18/cf/94/3b77-40c8-9104-b0270d1f00c4/sd.jpg;10
864;Les Gourmandises du Chêne;49.59707;0.675233;True;45.73;49.596816;0.674734;https://panoramax.openstreetmap.fr/derivates/19/36/ca/e9/1720-44cb-86a0-2ffed78334b0/sd.jpg;4
865;Randonnée à Mauquenchy;49.6047308;1.4682868;False;;;;;0
866;Vue du Pont;49.527162;0.719485;True;3.33;49.527178558;0.719446522;https://panoramax-storage-public-fast.s3.gra.perf.cloud.ovh.net/derivates/96/14/09/c8/e633-48bb-9898-2c3369eab157/sd.jpg;10
867;"Marché à la ferme ""Les Prés d'Artemare""";49.7680433;0.7305165;False;;;;;0
868;La Vallée de la Ganzeville;49.73489;0.41263;False;;;;;0
869;Café-Librairie les Bucoliques;50.0587497;1.3759756;True;16.19;50.0586168;1.3758831;https://panoramax.openstreetmap.fr/derivates/57/c8/e3/eb/b322-4629-8b2f-5ccd66cdd9c6/sd.jpg;10
870;Sortie nature en canoë-kayak;49.4499556;0.8071387;True;45.92;49.449676047;0.807606175;https://panoramax-storage-public-fast.s3.gra.perf.cloud.ovh.net/derivates/14/7c/72/c3/247c-42fd-80cc-298c98797e78/sd.jpg;10
871;North' Fest Fête Viking;49.5382766;1.4391494;False;;;;;0
872;Le Lin en Fête;49.721534;0.784856;False;;;;;0
873;Les Acres à VTT;49.5030786;1.5862643;False;;;;;0
874;La Fiesta Du Pasino - 90 / 2000;49.4913749;0.1120312;True;31.53;49.491654;0.112108;https://panoramax-storage-public-fast.s3.gra.perf.cloud.ovh.net/derivates/21/ec/83/f1/657e-49a9-97d0-59e8520a398a/sd.jpg;10
875;Gîte de l'Obione;50.05846;1.37016;True;1.39;50.0584645;1.3701418;https://panoramax.openstreetmap.fr/derivates/12/cb/a7/ec/cab3-4123-94bb-640c4526b386/sd.jpg;10
876;La baie du Havre en voilier;49.4898847;0.0972618;True;25.79;49.489944;0.097607;https://panoramax-storage-public-fast.s3.gra.perf.cloud.ovh.net/derivates/89/0e/8c/bb/dbd0-49f0-8fc0-c799a5ea0480/sd.jpg;10
877;Stages de danse contemporaine;50.0547342;1.42771872;True;5.89;50.0546825;1.4277007;https://panoramax.openstreetmap.fr/derivates/43/a3/17/2a/0c73-4d12-8efd-ce65612330d5/sd.jpg;10
878;Les Houx à VTT;49.5221854;1.5072745;False;;;;;0
879;Manoir de l'aumônerie - Gîte de la Longère;49.433909;0.966932;False;;;;;0
880;L'Ecrin de l'Andelle;49.477418;1.428256;False;;;;;0
881;Crème de Pâtissière;49.61746;0.75487;False;;;;;0
882;Les Gîtes du Val Renoux;49.7485819;0.4032521;False;;;;;1
883;Domaine de Merval;49.5158085;1.60134703;False;;;;;0
884;Fête Communale;49.583094;1.665627;False;;;;;1
885;Bienvenue chez M. et Mme Hédouin;49.7582683;0.3733233;False;;;;;0
886;Minute patrimoine : Entracte au théâtre;49.4904989;0.1069792;False;;;;;10
887;Le Bouchon Normand;49.4912336;0.1042597;True;4.64;49.491193;0.104245;https://panoramax-storage-public-fast.s3.gra.perf.cloud.ovh.net/derivates/c6/15/62/46/07e8-4384-9097-dfc5bdca5e2b/sd.jpg;10
888;Dimanche sportif - Yoga;49.5243809;0.7222184;True;49.39;49.52481655;0.722084786;https://panoramax-storage-public-fast.s3.gra.perf.cloud.ovh.net/derivates/91/84/27/9e/f664-411b-960b-8190712b31c8/sd.jpg;10
889;"Exposition ""Sous la pluie : peindre, vivre et rêver""";49.444846;1.0939292;True;5.01;49.4448826;1.093888889;https://panoramax.openstreetmap.fr/derivates/de/bc/f8/7c/807e-4121-9795-c6ae04fbcc76/sd.jpg;10
890;La Route de Pompon;49.51408;1.69913;True;28.37;49.513901;1.69885;https://panoramax.openstreetmap.fr/derivates/b0/14/b6/c9/e09a-4bb2-9e54-a1bdaf7688f8/sd.jpg;2
891;Le jardin des Lilas;49.826617;0.713168;True;5.4;49.826583333;0.713222222;https://panoramax-storage-public-fast.s3.gra.perf.cloud.ovh.net/derivates/1d/65/cd/64/ad60-492e-8770-cfa2f7368a1e/sd.jpg;10
892;Sortie Nature : Balade Créative - Jeux de Nature;49.732249;0.855;False;;;;;0
893;Parc Canadien - Tipis Camping;49.771563;1.18309799;False;;;;;0
894;Le Bel Ami;49.7071349;0.20314319;True;5.34;49.707114;0.20321;https://panoramax-storage-public-fast.s3.gra.perf.cloud.ovh.net/derivates/4d/4b/71/78/96de-4901-9b56-871573d380fb/sd.jpg;10
895;[Fête de la Musique] Artistes locaux;49.928985;1.1017361;False;;;;;0
896;Earth Moov';49.6339163;0.3622772;False;;;;;0
897;Librairie Banse;49.7567936;0.37675898;False;;;;;0
898;La Verrière - Bar à cocktail - Palais Bénédictine;49.75884;0.36803;False;;;;;0
899;Gîtes de France® - L'Orvason;49.5242958;0.83403498;False;;;;;0
900;Emji;49.44185;1.09123;True;4.82;49.4418206;1.091279;https://panoramax.openstreetmap.fr/derivates/99/93/ad/f7/84e6-4a8a-b54c-c28fcc4cfaa7/sd.jpg;10
901;Graines de Fée;49.471572;1.34251;False;;;;;0
902;Les Croix des Blanques;49.60906;0.6388;True;0.98;49.609055986;0.638787881;https://panoramax-storage-public-fast.s3.gra.perf.cloud.ovh.net/derivates/e8/a0/54/4c/41d9-4732-af3e-70e74e66536d/sd.jpg;10
903;Apprentis fermier;49.66311;1.354681;False;;;;;0
904;Maison de santé pluridisciplinaire Wastus Santé;49.601018;1.1846116;False;;;;;0
905;Appart'hôtel Odalys City Le Havre Centre Les Docks;49.4925;0.12978;True;5.68;49.492449;0.129783;https://panoramax-storage-public-fast.s3.gra.perf.cloud.ovh.net/derivates/a7/1d/b0/10/1567-4180-9c2c-692ffa848cdd/sd.jpg;10
906;Office de tourisme de Bray Eawy;49.7314895;1.4415678;True;24.04;49.731632955;1.44131762;https://panoramax.openstreetmap.fr/derivates/bc/19/31/da/ca14-4148-91db-338e1bec8d54/sd.jpg;10
907;Aux sources de l'Eaulne;49.7492271;1.55145572;False;;;;;0
908;Danse : La petite soldate;49.4904989;0.1069792;False;;;;;10
909;SPORTEVENTS;49.5702011;0.48210739;True;22.52;49.570003225;0.482174253;https://panoramax-storage-public-fast.s3.gra.perf.cloud.ovh.net/derivates/a3/4c/bd/26/10e2-445d-a593-da9a089c1a7d/sd.jpg;10
910;Atelier DIY - Faire sa trousse de toilette Mijuin;49.3812138;1.0755691;True;35.6;49.381490128;1.075320636;https://panoramax-storage-public-fast.s3.gra.perf.cloud.ovh.net/derivates/c6/3e/fd/f4/bd37-471a-b013-a5bcd376c1e7/sd.jpg;10
911;La maison au calme;50.03272;1.32168;False;;;;;0
912;[Balade nature] Mission Nature au Cap d'Ailly;49.916492;0.959843;False;;;;;5
913;Jardin des Amouhoques;49.816307;0.773092;False;;;;;0
914;Exposition : Alexandre Honoré;49.5074213;0.2014497;True;20.75;49.507243;0.201365;https://panoramax-storage-public-fast.s3.gra.perf.cloud.ovh.net/derivates/a5/bb/18/f6/66e6-4536-baea-617800d1a4f6/sd.jpg;10
915;Centre Hospitalier Intercommunal Elbeuf-Louviers-Val de Reuil (Site d’Elbeuf-Les Feugrais);49.305378;1.040376;False;;;;;0
916;La Boucane;49.761876;0.368231;False;;;;;0
917;Plage-Baignade Yport;49.7395249;0.30998557;False;;;;;0
918;Gîtes de France® - Le Conquérant;49.679627;0.199916;True;19.07;49.67968;0.199664;https://panoramax-storage-public-fast.s3.gra.perf.cloud.ovh.net/derivates/aa/a6/a9/70/8e2b-4fc3-a7ab-259132aa66bd/sd.jpg;10
919;Atelier tambour fleuri;49.59953;1.11099;False;;;;;0
920;Circuit de La Rosière;49.6084428;1.53611035;True;29.4;49.6087;1.536016;https://panoramax.openstreetmap.fr/derivates/ab/74/c7/cf/0e14-443c-8b8e-017c4a69ef50/sd.jpg;4
921;Appart Hôtel Terres de France Rouen Flaubert;49.43461;1.07672;True;5.53;49.4345753;1.0766652;https://panoramax.openstreetmap.fr/derivates/9d/4b/e8/ca/db4b-4852-8d2f-ba3654f92cdb/sd.jpg;10
922;Train touristique Rouen;49.4404415;1.09503571;True;34.39;49.440675903;1.09534595;https://panoramax.openstreetmap.fr/derivates/e9/88/08/fa/eefe-4acb-b298-9a8a28ef6c03/sd.jpg;10
923;Cello 360 Break - Christian-Pierre La Marca & Yaman Okur;49.4446789;1.1001902;True;23.46;49.4447446;1.0998818;https://panoramax.openstreetmap.fr/derivates/e9/92/e1/19/934a-4d37-8e83-d7b05cd04e01/sd.jpg;10
924;La Maison - Chambre Nicolas;49.4272736;1.08372759;True;5.97;49.4273014;1.0837982;https://panoramax.openstreetmap.fr/derivates/26/c5/61/25/813c-4f77-88fc-f432360cc9d8/sd.jpg;10
925;Atelier aquarelle adultes;49.6648938;1.0024709;False;;;;;0
