id_poi;poi;poi_api;source;verdict;score
215;La Véloroute des Thermes;Aucun;Aucune;Inconnu;0
216;Gomare;Aucun;Aucune;Inconnu;0
217;La Chevrette;Aucun;Aucune;Inconnu;0
218;Ferme des Templiers;Aucun;Aucune;Inconnu;0
219;Museoh oh oh Seine, le Noël des enfants au musée;Aucun;Aucune;Inconnu;0
220;Nichoir à chauve-souris et abri pour hérisson;Aucun;Aucune;Inconnu;0
221;Le Nid Cauchois;Aucun;Aucune;Inconnu;0
222;Gare de Bolbec;Aucun;Aucune;Inconnu;0
223;Fête foraine, vide grenier et feu d'artifice à Motteville;Motteville;OSM;Inconnu;93
224;Trail des Z'oranges pressées;Aucun;Aucune;Inconnu;0
225;Forges-en-Courses;Aucun;Aucune;Inconnu;0
226;Les clos masures;Aucun;Aucune;Inconnu;0
227;Découverte du verre soufflé à la canne;Aucun;Aucune;Inconnu;0
228;Serres des Jardins Suspendus;Jardins Suspendus;OSM;Inconnu;104
229;Une ville, des quartiers : Le quartier Saint-Sever;Saint-Sever;OSM;Inconnu;89
230;Visite guidée - Eu : Mille ans d'Histoire;Eu A;OSM;Inconnu;91
231;Gîte communal de Gaillefontaine;Gaillefontaine A;OSM;Inconnu;93
232;Le clos d'Estain;Aucun;Aucune;Inconnu;0
233;La Sellerie;Aucun;Aucune;Inconnu;0
234;Mme LAVAL-ANDRE Chloé;Aucun;Aucune;Inconnu;0
235;Visite de territoire : Passe à poissons de la Risle;Aucun;Aucune;Inconnu;0
236;Plage -Baignade et pêche à pied Quiberville-sur-Mer;Aucun;Aucune;Inconnu;0
237;Cap Fécamp à Bâbord;Aucun;Aucune;Inconnu;0
238;Bien-être au musée : Visite inspirée;Aucun;Aucune;Inconnu;0
239;La Roulée;Aucun;Aucune;Inconnu;0
240;Visite guidée des jardins - Rendez-vous aux Jardins 2026;Aucun;Aucune;Inconnu;0
241;Ferme Aquaponique de l'Abbaye;Aucun;Aucune;Inconnu;0
242;Café des sports;Café des sports;OSM;Inconnu;128
243;Atelier Musée du Textile;Aucun;Aucune;Inconnu;0
244;La  Ferme des Falaises;Aucun;Aucune;Inconnu;0
246;J'extériorise mes maux par le modelage de l'Argile;Aucun;Aucune;Inconnu;0
247;Visite famille : Du rire aux larmes;Aucun;Aucune;Inconnu;0
248;Bistrot by lac de Caniel;Restaurant du Lac de Caniel;OSM;Oui;118
249;Exposition : Monet au Havre;Aucun;Aucune;Inconnu;0
250;Le Jardin du Roi de Rome à cheval;Aucun;Aucune;Inconnu;0
251;L'heure bleue;Aucun;Aucune;Inconnu;0
252;Jardin des Fontaines;Jardin des Fontaines;OSM;Inconnu;123
253;Escale Quai George V;Aucun;Aucune;Inconnu;0
254;Spectacle : Thomas Marty;Aucun;Aucune;Inconnu;0
255;Cours de navigation à la voile ados / adultes - Stage de Voile Dériveurs - Centre Nautique du Tréport;Le Tréport – Mers-les-Bains;OSM;Inconnu;76
