id_poi;poi;found;best_score;best_match;nb_results
169;Aire de stationnement et de service d'Ecretteville-les-Baons;False;0;;0
170;Boucle VTT - De la Saâne à la Vienne;False;0;;0
171;[reporté] Défilé de vieux véhicules de sapeurs-pompiers;False;0;;0
172;Randonnée à la Hallotière;False;0;;0
173;Foire à tout au stade d'Etoutteville;False;0;;0
174;Atelier : Broderie sur papier;False;0;;0
175;Escalade - Séance multisports;False;0;;0
176;La Ferme de La Boudinière;False;0;;0
177;Journées Européennes du Patrimoine 2026;False;0;;0
178;Dans les pas de Laura · Visites guidées;False;0;;0
179;Les terrasses du jeudi;True;0.2706766917293233;Formulaire de la chancellerie royale, dans lequel sont transcrits divers actes de Louis XII et de François Ier.;1
180;Le Bois de la Brétèque;False;0;;0
181;Château de Maltot - Le Nichoir;False;0;;0
182;Boutique de la distillerie de la Seine - spiritueux Made In LH;False;0;;0
183;La Mercerie de Denise;True;0.3793103448275862;FRAM - Famille MOREL, correspondances;1
184;Le Clos Vildor;False;0;;0
185;La Réserve en Seine;True;0.38596491228070173;Une promenade sur la Seine : [estampe];5
186;Chasse aux trésors Oiseaux;True;0.2857142857142857;Maḫzan al-asrār. Niżāmī;3
187;Centre Hospitalier d'Eu;True;0.6557377049180328;Centre hospitalier (ancienne chapelle);5
188;Chez Simon;True;0.7692307692307692;Repas chez Simon;5
189;Des Glycines à la Porte Noire;False;0;;0
190;Linstantiny;False;0;;0
191;"Les Gîtes du Manoir du Perroy ""Le Four à Pain""";False;0;;0
192;Hissez les voiles à Dieppe !;False;0;;0
193;Bleu Horizon;True;0.736842105263158;Horizon;5
194;Foire à tout/ Loterie;True;0.3939393939393939;Claude Frochaux (Intense activité littéraire);2
195;Mme CONSEIL Sylvia;True;0.23703703703703705;[Le conseil des dix, opéra-comique de Narcisse Girard, Leuven et Brunswick : costume de Mme Darcier (rôle de Sylvia)];1
196;Visite du Tissage du Ronchay;False;0;;0
197;Le Gîte la Pommeraie;False;0;;0
198;Marché traditionnel;True;0.5352112676056338;Marché aux bestiaux, bretons en costume traditionnel;5
199;La Forêt de Ménonval;False;0;;0
200;Chez Mme ROBILLARD Marie-Line;False;0;;0
201;GUIHOME;False;0;;0
202;Mess My Mind 2026;False;0;;0
203;La Quesnoye;False;0;;0
204;Pablo Mira;True;0.5;San Pablo - Cuadro;5
205;Humour : Haroun - Bonjour quand même;False;0;;0
206;Aéroclub de l'Estuaire de la Seine;False;0;;0
207;"Promenade ""Fabrique ton herbier""";False;0;;0
208;Les bulles de Malylou;False;0;;0
209;Escape Game Étretat - Panda Motion;False;0;;0
210;Château du Val d'Arques;True;0.09633027522935776;Recueil d'actes de Louis XII, François Ier, Henri II, dauphin, etc. Copies dépourvues le plus souvent des noms et des dates donnés par les originaux, ce recueil ayant été formé par un secrétaire du roi, « Clausse », dont la signature est à la fin dudit recueil, pour lui servir de formulaire. On ne signalera ici que les actes dont la copie présente quelque intérêt par les noms des personnes objets de ces actes.;1
211;Gîte Le Presbytère;False;0;;0
212;[Musique] On laisse les clés à Hakim Molina;False;0;;0
213;Bodega Le Havre;False;0;;0
214;Marché hebdomadaire de Forges-les-Eaux;False;0;;0
215;La Véloroute des Thermes;False;0;;0
216;Gomare;True;0.19354838709677424;Solanum tettense Klotzsch;5
217;La Chevrette;True;0.7096774193548387;Head of a chevrette;5
218;Ferme des Templiers;True;0.95;[Ferme des Templiers];5
219;Museoh oh oh Seine, le Noël des enfants au musée;False;0;;0
220;Nichoir à chauve-souris et abri pour hérisson;False;0;;0
221;Le Nid Cauchois;False;0;;0
222;Gare de Bolbec;False;0;;0
223;Fête foraine, vide grenier et feu d'artifice à Motteville;False;0;;0
224;Trail des Z'oranges pressées;False;0;;0
225;Forges-en-Courses;True;0.2978723404255319;Life of private Gaspard Grivel;2
226;Les clos masures;True;0.20472440944881887;Formulaire de la chancellerie royale, dans lequel sont transcrits divers actes de Louis XII et de François Ier.;1
227;Découverte du verre soufflé à la canne;False;0;;0
228;Serres des Jardins Suspendus;False;0;;0
229;Une ville, des quartiers : Le quartier Saint-Sever;False;0;;0
230;Visite guidée - Eu : Mille ans d'Histoire;False;0;;0
231;Gîte communal de Gaillefontaine;False;0;;0
232;Le clos d'Estain;False;0;;0
233;La Sellerie;True;0.4074074074074075;La famille Strub dans l'atelier de sellerie;5
234;Mme LAVAL-ANDRE Chloé;False;0;;0
235;Visite de territoire : Passe à poissons de la Risle;False;0;;0
236;Plage -Baignade et pêche à pied Quiberville-sur-Mer;False;0;;0
237;Cap Fécamp à Bâbord;False;0;;0
238;Bien-être au musée : Visite inspirée;False;0;;0
239;La Roulée;True;0.4705882352941176;Sapho roulée sur la grève;5
240;Visite guidée des jardins - Rendez-vous aux Jardins 2026;False;0;;0
241;Ferme Aquaponique de l'Abbaye;False;0;;0
242;Café des sports;True;0.6666666666666667;"1950. Paris. ""Café des Sports""";5
243;Atelier Musée du Textile;True;0.3711340206185567;TAPISSERIE DE LICE - Les Chambres du Vatican   Héliodore chassé du Temple;5
244;La  Ferme des Falaises;False;0;;0
245;Le Chemin Vert du Petit Caux à VTT;False;0;;0
246;J'extériorise mes maux par le modelage de l'Argile;False;0;;0
247;Visite famille : Du rire aux larmes;False;0;;0
248;Bistrot by lac de Caniel;False;0;;0
249;Exposition : Monet au Havre;False;0;;0
250;Le Jardin du Roi de Rome à cheval;True;0.4086021505376344;Formulaire à l'usage des notaires de la chancellerie royale.;3
251;L'heure bleue;True;1.0;L'heure bleue;5
252;Jardin des Fontaines;True;0.49275362318840576;Veue de la Cour des Fontaines de Fontaine-bel-eau;5
253;Escale Quai George V;False;0;;0
254;Spectacle : Thomas Marty;False;0;;0
255;Cours de navigation à la voile ados / adultes - Stage de Voile Dériveurs - Centre Nautique du Tréport;False;0;;0
256;Patinoire Municipale;True;0.2857142857142857;Léonard Gianadda (et la Fondation Pierre Gianadda);1
257;Hôtel Rouen Alba;False;0;;0
258;Parc la Fontaine Enchantée;False;0;;0
259;Grumesnil;True;0.2941176470588235;Campanula rotundifolia L.;2
260;Circuit du manoir au Val;False;0;;0
261;Clos-masure, dis-nous tes secrets !;False;0;;0
262;Foire à tout;True;0.48275862068965514;La Foire de Paris;5
263;Visite-démonstration à la Poterie Seinomarine;False;0;;0
264;Dîner-spectacle : La Fiesta Do Brazil;False;0;;0
265;Visite commentée de la Collection de faïences « Vieux Forges »;False;0;;0
266;Office de Tourisme Intercommunal de Fécamp;False;0;;0
267;[Visite guidée] À la découverte des jardins du château;False;0;;0
268;[Randonnée chantée] Dieppe et le Canada, entre histoire et musique;False;0;;0
269;Auppegard en Fleurs et Plants;False;0;;0
270;Bal de la Victoire à Duclair;False;0;;0
271;Le Relais Normand;True;0.30107526881720426;Hôtel-Restaurant: Beloeil Le vieil intérieur normand du relais du Vieux Rond;1
272;Escale Dieppe Gambetta;False;0;;0
273;Jardin en Seine;True;0.5106382978723405;Le jardin des plantes aquatiques;5
274;Domaine de la Reine Blanche - Villa;True;0.25668449197860965;Recueil de documents historiques, pour la plupart relatifs au POITOU et aux provinces voisines, réunis et copiés par Jean BESLY. (XIIe-XVIIe siècle.). I;1
275;Tournoi jeunes de Tennis;False;0;;0
276;Marché de producteurs;True;0.24418604651162787;La Nouvelle loi sur le marché du blé et son application, rapport présenté, au nom du groupement des producteurs de blé du S.-O / par M. de Palaminy,...;5
277;La Réformation;True;0.7;Histoire de la réformation;5
278;Propos de jardinier : La botanique pour les nuls;False;0;;0
279;Poug'Rock Fest;False;0;;0
280;Bien-être au musée : Art, sport et relaxation;False;0;;0
281;Yoga et yoga Nidra en terre d'Accord;False;0;;0
282;L' Estran;True;0.18181818181818177;[Mémoire, observations et plans sur le port de Dunkerque];5
283;Les Ecuries des Vallées;False;0;;0
284;[Atelier famille] Carterie;False;0;;0
285;Le Mont Rôti à VTT;False;0;;0
286;Montville en fleurs;False;0;;0
287;Le Quai Sud;True;0.4242424242424242;gare du sud (ancienne);5
288;Activités sportives - jeux de raquettes;False;0;;0
289;Aire de stationnement et de service du Flower Camping La Chênaie;False;0;;0
290;Une oeuvre, un invité, un café : le départ pour la pêche et l'oeuvre du peintre Emile Louis Minet;False;0;;0
291;"Théâtre : ""Nous étions la forêt""";False;0;;0
292;La Basse Vallée de la Durdent;False;0;;0
293;[Thé dansant] Club de l'Amitié d'Offranville;False;0;;0
294;Exposition : Le thermalisme à travers les cartes postales anciennes;False;0;;0
295;[Exposition] Maryvonne Burel et Annie Loue;False;0;;0
296;MENADEL - Chambre Ariel;False;0;;0
297;L'écume - Duplex 1er étage;False;0;;0
298;Chèvrerie de la forêt d'Eu;False;0;;0
299;Auberge d'Ypreville;False;0;;0
300;Téléthon;True;0.75;Telethon;5
301;Théâtre : Nous étions la forêt;False;0;;0
302;Mcdonald's;True;0.6666666666666667;Flora Mcdonald;5
303;Site V1 de Guerville;False;0;;0
304;La Cave du Salut;True;0.3783783783783784;JULES COMPAIN's story;5
305;Randonnée pédestre;True;0.5573770491803278;Randonnée à ski, près de Bourg-Saint-Pierre;5
306;Le Val Saint-Etienne à VTT;False;0;;0
307;M. GAULANDEAU Henri et Isabelle - Location vue mer;False;0;;0
308;Concert : Danyl;False;0;;0
309;L'oeil et la main - Espace d'expositions d'art;True;0.36363636363636365;André Delessert (Mathématicien, sculpteur);1
310;La grillade;True;0.25287356321839083;Adolphe Dailly: Mes-Bottes and Mousseau: Bibi-la-Grillade, in “L' Assommoir”;5
311;Le Clos Marin;True;0.23529411764705888;Correspondence of Colbert from September-December 1677.;4
312;Base Nautique et de Loisirs de Bédanne;False;0;;0
313;Woupi;False;0;;0
314;Minute patrimoine : Ces messieurs du café;False;0;;0
315;Maison de santé pluridisciplinaire La Charmille;False;0;;0
316;Des dessins animés au Shed !;False;0;;0
317;La Dame au Chapeau;True;0.4444444444444444;[La dame au chapeau blanc] : [estampe] (4ème état) / H. Guérard;5
318;Mémoire d'Albâtre, Site du Pont Rouge;False;0;;0
319;Chapelle Seigneuriale de l'église Notre-Dame;True;0.3055555555555556;91 n° pour 99 pièces. Anjou.;1
320;Le Petit Gîte d'Angélique;False;0;;0
321;Gîtes de France® - Ferme de la Houssaye;False;0;;0
322;La Lisette;True;0.8235294117647058;Lisette;5
323;"Atelier de danse libre ""move your body""";False;0;;0
324;NAMONT Béatrice;False;0;;0
325;Les Grands Genêts;False;0;;0
326;Le Goulet à VTT;False;0;;0
327;Journées du Patrimoine | Visite guidée - Criel-sur-Mer : Circuit du patrimoine architectural;False;0;;0
328;Domaine du Grand Daubeuf;False;0;;0
329;La Plaine du Moulin;True;0.5306122448979591;"L'Aiglon ; la Plaine de Wagram";5
330;Petite sortie en voilier habitable;False;0;;0
331;Stage nature : La vie sauvage;False;0;;0
332;Exposition à Médiscie - Teddy Gardez, Graphiste Artandbuzz, et Caroline Strande;False;0;;0
333;Gare de Le Houlme;False;0;;0
334;[Exposition] Guillaume Montier;False;0;;0
335;Duck House;True;1.0;DUCK HOUSE;5
336;Sport dans les années 1920 Croquet – initiation au Gateball;False;0;;0
337;La chèvrerie des trois L;False;0;;0
338;La VéloCauchoise;True;0.2142857142857143;Gallerie des Modes et du Costume Français: Cauchoise élégante dans le costume de son pays. Y.137;1
339;[Visite guidée] Pourville, l’histoire d’une métamorphose;False;0;;0
340;Musée d'Histoire de la Vie Quotidienne;True;0.40963855421686746;FRAD006_001J 0959-0960 Histoire de Jean Leroy;5
341;Le Cercle des pages partagées;False;0;;0
342;Glicool;False;0;;0
343;Gare de Motteville;False;0;;0
344;FRONT DE MER ET FALAISE 317;False;0;;0
345;Le Grand Tour du Trait à VTT;False;0;;0
346;Concerts : Les Musicales de Normandie 2026;False;0;;0
347;Marais de Fesques;False;0;;0
348;Pain bio de la Castorette;False;0;;0
349;Le Vallon;True;1.0;Le Vallon;5
350;La Ferm'entente;True;0.2571428571428571;Recueil de chansons du XIIIe siècle, avec musique notée;1
351;La Porteuse d'Eau;True;0.5074626865671642;Jeanne la porteuse d'eau : à M.me Gaveaux Sabatier;5
352;Saint Valery en Caux : une ville et la mer;False;0;;0
353;"Marché à la ferme ""Les Prés d'Artemare""";False;0;;0
354;Les îles de la Seine en paddle au coucher du soleil;False;0;;0
355;La Maison d'Yport;False;0;;0
356;Exposition : Section peinture du Club des Jeunes;False;0;;0
357;"Exposition photo ""Quand le Paysage trompe l'oeil""";False;0;;0
358;Tiny House Graine d'Insolite;False;0;;0
359;Téléski nautique au Lac de Caniel - Cours particulier;False;0;;0
360;Au P'tit Spot;False;0;;0
