Nom;latitude;longitude;found;google_maps_url
Gîte à la Ferme - Ferme du Manoir;49.554397;0.622234;True;https://www.google.com/maps/search/?api=1&query=49.554397%2C0.622234%28G%C3%AEte%20%C3%A0%20la%20Ferme%20-%20Ferme%20du%20Manoir%29
Rando-patrimoine : Un village cauchois ouvert sur la mer;49.7174392;0.2516352;True;https://www.google.com/maps/search/?api=1&query=49.7174392%2C0.2516352%28Rando-patrimoine%20%3A%20Un%20village%20cauchois%20ouvert%20sur%20la%20mer%29
Bois flotté;50.059349;1.378606;True;https://www.google.com/maps/search/?api=1&query=50.059349%2C1.378606%28Bois%20flott%C3%A9%29
Maison Mathilde;50.04734;1.41963;True;https://www.google.com/maps/search/?api=1&query=50.04734%2C1.41963%28Maison%20Mathilde%29
Auberge des Ruines;49.4329275;0.8190962;True;https://www.google.com/maps/search/?api=1&query=49.4329275%2C0.8190962%28Auberge%20des%20Ruines%29
Ca carillonne à la Cathédrale;49.4464909;1.0976001;True;https://www.google.com/maps/search/?api=1&query=49.4464909%2C1.0976001%28Ca%20carillonne%20%C3%A0%20la%20Cath%C3%A9drale%29
L'Huitrière;49.70722;0.201365;True;https://www.google.com/maps/search/?api=1&query=49.70722%2C0.201365%28L%27Huitri%C3%A8re%29
Ethic Etapes Les Hellandes;49.5762919;0.26974926;True;https://www.google.com/maps/search/?api=1&query=49.5762919%2C0.26974926%28Ethic%20Etapes%20Les%20Hellandes%29
Loto;50.0227008;1.315837;True;https://www.google.com/maps/search/?api=1&query=50.0227008%2C1.315837%28Loto%29
Le sentier du vallon;49.3116527;0.99580366;True;https://www.google.com/maps/search/?api=1&query=49.3116527%2C0.99580366%28Le%20sentier%20du%20vallon%29
Camping Barre-Y-Va;49.5221624;0.70336499;True;https://www.google.com/maps/search/?api=1&query=49.5221624%2C0.70336499%28Camping%20Barre-Y-Va%29
Centre Hospitalier du Grand Large;49.866452;0.706878;True;https://www.google.com/maps/search/?api=1&query=49.866452%2C0.706878%28Centre%20Hospitalier%20du%20Grand%20Large%29
[ANNULEE] [Foire à tout] En intérieur;49.8691573;1.0491045;True;https://www.google.com/maps/search/?api=1&query=49.8691573%2C1.0491045%28%5BANNULEE%5D%20%5BFoire%20%C3%A0%20tout%5D%20En%20int%C3%A9rieur%29
Le Portique - Centre régional d’art contemporain du Havre;49.4945928;0.1183492;True;https://www.google.com/maps/search/?api=1&query=49.4945928%2C0.1183492%28Le%20Portique%20-%20Centre%20r%C3%A9gional%20d%E2%80%99art%20contemporain%20du%20Havre%29
[Expression orale] L'Aventure Éloquence;49.9241256;1.0742735;True;https://www.google.com/maps/search/?api=1&query=49.9241256%2C1.0742735%28%5BExpression%20orale%5D%20L%27Aventure%20%C3%89loquence%29
Visite famille : Crypto-visite;49.5033248;0.1650465;True;https://www.google.com/maps/search/?api=1&query=49.5033248%2C0.1650465%28Visite%20famille%20%3A%20Crypto-visite%29
L'atelier des gourmands;49.66839;0.89762;True;https://www.google.com/maps/search/?api=1&query=49.66839%2C0.89762%28L%27atelier%20des%20gourmands%29
Aire de camping-cars - Saint-Jouin-Bruneval;49.6511677;0.1643121;True;https://www.google.com/maps/search/?api=1&query=49.6511677%2C0.1643121%28Aire%20de%20camping-cars%20-%20Saint-Jouin-Bruneval%29
L'Annexe;49.7567064;0.3681822;True;https://www.google.com/maps/search/?api=1&query=49.7567064%2C0.3681822%28L%27Annexe%29
[Exposition] Natalia Flament;49.8726358;1.0438192;True;https://www.google.com/maps/search/?api=1&query=49.8726358%2C1.0438192%28%5BExposition%5D%20Natalia%20Flament%29
Chapelle de grainval;49.7445609;0.3469675;True;https://www.google.com/maps/search/?api=1&query=49.7445609%2C0.3469675%28Chapelle%20de%20grainval%29
Zone humide et ecopâturage;50.017558;1.31580489;True;https://www.google.com/maps/search/?api=1&query=50.017558%2C1.31580489%28Zone%20humide%20et%20ecop%C3%A2turage%29
Villa les Mouettes;49.9037441;0.9204147;True;https://www.google.com/maps/search/?api=1&query=49.9037441%2C0.9204147%28Villa%20les%20Mouettes%29
Atelier créatif : Sablage;49.4873901;0.1078328;True;https://www.google.com/maps/search/?api=1&query=49.4873901%2C0.1078328%28Atelier%20cr%C3%A9atif%20%3A%20Sablage%29
Nounoune Festival;49.6695231;0.77721829;True;https://www.google.com/maps/search/?api=1&query=49.6695231%2C0.77721829%28Nounoune%20Festival%29
Sortie Nature : Balade gourmande printanière;49.674692;0.94529199;True;https://www.google.com/maps/search/?api=1&query=49.674692%2C0.94529199%28Sortie%20Nature%20%3A%20Balade%20gourmande%20printani%C3%A8re%29
Visite théâtralisée : 100 ans de l'Office de Tourisme;49.6136629;1.5463089;True;https://www.google.com/maps/search/?api=1&query=49.6136629%2C1.5463089%28Visite%20th%C3%A9%C3%A2tralis%C3%A9e%20%3A%20100%20ans%20de%20l%27Office%20de%20Tourisme%29
Le Moment Normand Le Colza;49.6130758;0.30059635;True;https://www.google.com/maps/search/?api=1&query=49.6130758%2C0.30059635%28Le%20Moment%20Normand%20Le%20Colza%29
L'Havrais Bière;49.4854745;0.10702792;True;https://www.google.com/maps/search/?api=1&query=49.4854745%2C0.10702792%28L%27Havrais%20Bi%C3%A8re%29
Aire de stationnement et de service du Camping Les Pommiers;49.709741;0.30972407;True;https://www.google.com/maps/search/?api=1&query=49.709741%2C0.30972407%28Aire%20de%20stationnement%20et%20de%20service%20du%20Camping%20Les%20Pommiers%29
[Visite guidée] À l'assaut du château !;49.9243623;1.0704652;True;https://www.google.com/maps/search/?api=1&query=49.9243623%2C1.0704652%28%5BVisite%20guid%C3%A9e%5D%20%C3%80%20l%27assaut%20du%20ch%C3%A2teau%20%21%29
Initiation gratuite au golf;49.5468;1.11307;True;https://www.google.com/maps/search/?api=1&query=49.5468%2C1.11307%28Initiation%20gratuite%20au%20golf%29
Trail des Pompiers;49.715006;1.103958;True;https://www.google.com/maps/search/?api=1&query=49.715006%2C1.103958%28Trail%20des%20Pompiers%29
Autour de Rouen (Est) à moto;49.441248;1.09022528;True;https://www.google.com/maps/search/?api=1&query=49.441248%2C1.09022528%28Autour%20de%20Rouen%20%28Est%29%20%C3%A0%20moto%29
La Montagne;49.705017;1.47887687;True;https://www.google.com/maps/search/?api=1&query=49.705017%2C1.47887687%28La%20Montagne%29
Le 6ème Sens;49.4432656;1.0867777;True;https://www.google.com/maps/search/?api=1&query=49.4432656%2C1.0867777%28Le%206%C3%A8me%20Sens%29
Les Pêcheries, Musée de Fécamp;49.7616978;0.36823609;True;https://www.google.com/maps/search/?api=1&query=49.7616978%2C0.36823609%28Les%20P%C3%AAcheries%2C%20Mus%C3%A9e%20de%20F%C3%A9camp%29
Aire de stationnement et de service de La Mailleraye sur Seine;49.483917;0.773568;True;https://www.google.com/maps/search/?api=1&query=49.483917%2C0.773568%28Aire%20de%20stationnement%20et%20de%20service%20de%20La%20Mailleraye%20sur%20Seine%29
Atelier Delphine DEVOS;49.4722578;1.3419361;True;https://www.google.com/maps/search/?api=1&query=49.4722578%2C1.3419361%28Atelier%20Delphine%20DEVOS%29
