id_poi;nom;nom_osm;score_fiabilite;Heure_Ouverture;Categorie
602;Gite à la ferme;Aucun;0;Inconnu;accommodation
607;Sur la trace des chevaux;Aucun;0;Inconnu;activity
609;La Côte de la Vierge;Aucun;0;Inconnu;activity
611;Pont Colbert;Aucun;0;Inconnu;culture
614;Enigma Keys;Aucun;0;Inconnu;activity
616;RICHARD Maryse;Aucun;0;Inconnu;accommodation
617;D'Eux-Mêmes;D'eux-mêmes;99;12:00-14:30, 19:00-22:30;food
618;Team Break Rouen;Team Break;89;09:30-23:30;activity
623;Four à pain de Flainville;Aucun;0;Inconnu;culture
628;Aire de stationnement du Camping Les Mouettes;Aucun;0;Inconnu;accommodation
629;Entre Seine et Terre;Aucun;0;Inconnu;activity
632;Balade au fil de l'Austreberthe;Aucun;0;Inconnu;other
633;La Maison des Sources 2;Aucun;0;Inconnu;accommodation
637;[Fermé] Casino Joa Etretat;Aucun;0;Inconnu;food
638;La Cavée des Sabotiers;Aucun;0;Inconnu;activity
643;Maison des Dalles;Aucun;0;Inconnu;accommodation
647;CHEVRIER Véronique;Aucun;0;Inconnu;accommodation
648;Chez le roi des Canaries;Aucun;0;Inconnu;activity
651;Port de plaisance de Saint-Aubin lès Elbeuf;Aucun;0;Inconnu;activity
654;La Belle Jeannette - Appartement 2;Aucun;0;Inconnu;accommodation
657;Mont Madame;Aucun;0;Inconnu;activity
660;L'Evasion;Aucun;0;Inconnu;accommodation
669;Gîtes de France® - du Mesnil;Aucun;0;Inconnu;accommodation
673;Les Proses Trémières;Aucun;0;Inconnu;accommodation
675;Routes par le Maroc;Aucun;0;Inconnu;activity
677;Hôtel Mercure Rouen Centre Champ de Mars;Aucun;0;Inconnu;accommodation
678;Valleuse du Petit-Ailly;Aucun;0;Inconnu;nature
679;Le Domaine des jardins de Bracquetuit;Aucun;0;Inconnu;accommodation
681;Aéroport Rouen Vallée de Seine;Aucun;0;Inconnu;activity
682;Sur la Route de l'Ouraille;Aucun;0;Inconnu;activity
685;Eglise Notre Dame du Bourg Dun;Le-Bourg-Dun;89;"We-Fr 09:45-12:00; Sa 09:45-12:00,14:00-17:00; PH off";culture
686;Aire de pique-nique du Bocasse;Aucun;0;Inconnu;activity
690;Le Bourg Joli;Aucun;0;Inconnu;activity
692;Michael;Aucun;0;Inconnu;accommodation
694;Maison de santé pluridisciplinaire Saint Eloi;Aucun;0;Inconnu;shop
701;LE PIGEONNIER 1;Aucun;0;Inconnu;accommodation
702;Le Gîte du Clocheton;Aucun;0;Inconnu;accommodation
708;Les clos masures;Aucun;0;Inconnu;activity
711;Autour de Guernesey;Aucun;0;Inconnu;activity
712;Minoterie Louis Capron;Aucun;0;Inconnu;shop
718;Centre Aquatique Aqualoup;Aucun;0;Inconnu;activity
728;Abbaye Saint-Martin;Aucun;0;Inconnu;culture
734;PR La Forêt de Montgeon;Aucun;0;Inconnu;activity
736;LE PAPE Alain et Eliane;Aucun;0;Inconnu;accommodation
739;SEALAR AÉROPORT LE HAVRE;Aucun;0;Inconnu;activity
742;Colline Sainte-Catherine - Panorama de Rouen;Aucun;0;Inconnu;nature
744;Grand Hôtel de la Seine;Aucun;0;Inconnu;accommodation
745;Gîte Le Clos D’Anthime;Aucun;0;Inconnu;accommodation
754;Le Palais des Sens - Une heure pour soi;Une Heure pour Soi;93;Mo-Sa 09:00-19:00;shop
756;Stage RS FEVA pour les 12-15 ans - Ecole de voile du Tréport Sensation Large;Aucun;0;Inconnu;other
757;Au fil de la Lézarde;Aucun;0;Inconnu;activity
759;Mix & Move - Le cocktail nomade;Aucun;0;Inconnu;food
761;Le Chemin des Ecoliers;Aucun;0;Inconnu;activity
762;Camping à la Ferme de Flamanville;Aucun;0;Inconnu;accommodation
766;L'Ecurie;Aucun;0;Inconnu;accommodation
767;Hôtel Le Cardinal;Aucun;0;Inconnu;accommodation
772;Le B'52;Aucun;0;Inconnu;food
773;Salon de Thé La Hulotte;Aucun;0;Inconnu;food
776;Les Bruyères;Aucun;0;Inconnu;activity
778;La Forge;Aucun;0;Inconnu;activity
781;Le Nouveau Monde;Aucun;0;Inconnu;activity
783;Hôtel Centre Rouen Vieille Tour;Aucun;0;Inconnu;accommodation
787;Le paradis des fleurs;Aucun;0;Inconnu;accommodation
789;SCEA Ferme de Torchy;Aucun;0;Inconnu;shop
791;Bien-être & Harmonie;Aucun;0;Inconnu;shop
793;Escapade Verte Marine;Aucun;0;Inconnu;accommodation
804;Gîtes de France® - Le Phare Ouest;Aucun;0;Inconnu;accommodation
813;Les Monts;Aucun;0;Inconnu;activity
817;Restaurant Campanile Barentin;Aucun;0;Inconnu;food
818;Porte Océane;Café de la Porte-Océane;87;"Mo-Fr 07:45-19:00; Sa 08:45-19:00";other
821;Hôtel O Bout du Quai;Aucun;0;Inconnu;accommodation
822;La Maison - Chambre Manor House;Aucun;0;Inconnu;accommodation
826;Centre Henri Becquerel;Aucun;0;Inconnu;shop
830;Balade nautique - Centre Nautique du Tréport;Aucun;0;Inconnu;other
838;Bienvenue chez Martine et Jean-Claude VAILLANT;Aucun;0;Inconnu;accommodation
842;La Petite “Lourdes”;Aucun;0;Inconnu;activity
848;Forêt indivise d'Eu;Aucun;0;Inconnu;nature
851;M et Mme Lecomte;Aucun;0;Inconnu;accommodation
859;Hôtel Relais d'Étretat;Aucun;0;Inconnu;accommodation
868;La Vallée de la Ganzeville;Aucun;0;Inconnu;activity
876;La baie du Havre en voilier;Aucun;0;Inconnu;other
879;Manoir de l'aumônerie - Gîte de la Longère;Aucun;0;Inconnu;accommodation
890;La Route de Pompon;Aucun;0;Inconnu;activity
896;Earth Moov';Aucun;0;Inconnu;activity
900;Emji;EMJI;99;"We-Fr 10:30-18:30; Tu 11:45-18:30; Sa 10:00-11:30";food
902;Les Croix des Blanques;Aucun;0;Inconnu;culture
904;Maison de santé pluridisciplinaire Wastus Santé;Aucun;0;Inconnu;shop
907;Aux sources de l'Eaulne;Aucun;0;Inconnu;activity
915;Centre Hospitalier Intercommunal Elbeuf-Louviers-Val de Reuil (Site d’Elbeuf-Les Feugrais);Aucun;0;Inconnu;shop
917;Plage-Baignade Yport;Aucun;0;Inconnu;nature
918;Gîtes de France® - Le Conquérant;Aucun;0;Inconnu;accommodation
922;Train touristique Rouen;Aucun;0;Inconnu;activity
924;La Maison - Chambre Nicolas;Aucun;0;Inconnu;accommodation
927;Église Saint-Jacques;Aucun;0;Inconnu;culture
929;Le Grand Eawy;Aucun;0;Inconnu;activity
930;L'Andellix;Aucun;0;Inconnu;activity
935;Longueville-sur-Scie à pied;Aucun;0;Inconnu;activity
946;Gîte de La Ruchette;Aucun;0;Inconnu;accommodation
948;Chalet Mésange;Aucun;0;Inconnu;accommodation
953;Le Puit;Aucun;0;Inconnu;culture
956;La Normande;Aucun;0;Inconnu;accommodation
962;Clinique Mathilde - Groupe Vivalto Santé;Aucun;0;Inconnu;shop
965;Centre Hospitalier (Gournay-en-Bray);Aucun;0;Inconnu;shop
974;Les Tables de la Gare;Aucun;0;Inconnu;food
977;Le verger conservatoire;Aucun;0;Inconnu;nature
978;Gîtes de France® - La Bergerie du Mauconduit;Aucun;0;Inconnu;accommodation
979;Maison de Santé pluridisciplinaire Les Jardins Le Havre Bléville;Aucun;0;Inconnu;shop
980;Sur les pas des ramendeuses;Aucun;0;Inconnu;activity
984;Les Fleurs de Maria;Aucun;0;Inconnu;accommodation
989;L'Estival;Aucun;0;Inconnu;food
993;Quai 39;Aucun;0;Inconnu;accommodation
995;Office de Tourisme Bray Eawy - Location de vélos;Aucun;0;Inconnu;shop
999;"""LE BALCON DE NOTRE DAME"" du groupe ISAHORA-LOCATION.COM";Aucun;0;Inconnu;accommodation
1009;L'Éclat d'Emaux - Sophie MARTINACHE;Aucun;0;Inconnu;activity
1019;Le Lihut;Aucun;0;Inconnu;activity
1021;La Ferté Saint Samson;Mairie de la Ferté-Saint-Samson;82;"Mo 17:00-19:00; Th 17:00-19:00";activity
1022;Villa 27 entre falaise et mer;Aucun;0;Inconnu;accommodation
1025;Au gré des vents sur un vieux gréement à Fécamp;Aucun;0;Inconnu;other
1027;Meublé 56 LEVILLAIN;Aucun;0;Inconnu;accommodation
1030;Les Jacquemarts en attelage;Aucun;0;Inconnu;activity
1038;La Sente des Manoirs;Aucun;0;Inconnu;activity
1039;Aire de pique-nique de Clères;Aucun;0;Inconnu;activity
1042;GAEC La Chèvrerie de Bliquetuit;La Chèvrerie de Bliquetuit;79;Fr-Sa 14:00-18:00;shop
1045;Urban Style Hôtel de l'Europe;Aucun;0;Inconnu;accommodation
1048;Gîtes de France® - Les Erables;Aucun;0;Inconnu;accommodation
1057;Les Falaises de Criel;Aucun;0;Inconnu;accommodation
1061;Vers la Forêt d'Eawy;Aucun;0;Inconnu;activity
1067;Centre de rééducation La Roseraie;Aucun;0;Inconnu;shop
1071;Gîte Quartz;Aucun;0;Inconnu;accommodation
1074;Poney Club de Gonfreville l'Orcher;Aucun;0;Inconnu;activity
1077;Cidrerie du Petit Clos;Aucun;0;Inconnu;culture
1082;Routes par le Maroc;Aucun;0;Inconnu;activity
1088;Découverte de la Saâne en paddle;Aucun;0;Inconnu;other
1092;Cirque Théâtre d'Elbeuf;Aucun;0;Inconnu;activity
1106;Gîte Marie;Aucun;0;Inconnu;accommodation
1107;Villa Armand Salacrou;Aucun;0;Inconnu;other
1110;Les trésors de la Seine en kayak au coucher du soleil;Aucun;0;Inconnu;other
1114;Le Tour d'Hénouville;Aucun;0;Inconnu;activity
1117;L'essentiel - Espace bien-être;Aucun;0;Inconnu;shop
1124;Maison Caillet - Hôtel;Aucun;0;Inconnu;accommodation
1126;La Maison de Sotteville sur Mer;Aucun;0;Inconnu;accommodation
1131;Meublé 33;Aucun;0;Inconnu;accommodation
1132;Parcours du Saint-Mellon;Aucun;0;Inconnu;activity
1140;Cours - Golf de Yerville;Aucun;0;Inconnu;activity
1150;Le Prêtre;Aucun;0;Inconnu;activity
1166;La Crielloise;Aucun;0;Inconnu;accommodation
1167;Au refuge de la colline;Aucun;0;Inconnu;accommodation
1168;Villa Juliette;Aucun;0;Inconnu;accommodation
1171;Le Phare;Aucun;0;Inconnu;accommodation
